Sentence,Label,Class,Sensitive
"Our Chief Assurance Manager, Dovie, will oversee health and safety in our Provence-Alpes-Côte d'Azur location. Please forward relevant information to her.",1,"['JOBTITLE', 'STATE', 'FIRSTNAME']",Sensitive
"Instead of telling God how big my problems are, I like telling my problems how big God is!  http://bit.ly/5ofzj",0,,
Heating issues.... Don't buy this mobile...,0,,
"Please input the following set: 07788-0978, 360, Suite 133, while registering for the next session.",1,"['ZIPCODE', 'BUILDINGNUMBER', 'SECONDARYADDRESS']",Sensitive
"Your task for today is to draft new clauses for our auto insurance policies for our high-risk customers. Please include the case of stealing an insured car with vehicle Registration Mark QR50RJQ. Also, consider the digital security aspect regarding client's passwords confidentiality like ZxLk80CFWNU_.",1,"['PASSWORD', 'VEHICLEVRM']",Very Sensitive
"Miss Ulises, would you please provide a comprehensive review of the Usability department's annual performance on 25/09/1977. Please email us the same by next Tuesday.",1,"['JOBAREA', 'DATE', 'PREFIX', 'FIRSTNAME']",Sensitive
"The patient, a Male with Eye color: Brown, born on 30/08/1970, has an Oncology appointment scheduled. For privacy and data protection, contact us through 183.212.239.100. For communication, please call only at 44-948794-027171-9.",1,"['IP', 'DOB', 'PHONEIMEI', 'SEX', 'EYECOLOR']",Very Sensitive
"We are offering an early bird discount for next year’s special education program fee. To avail it, please pay by 23/04/1988 with your card number 2198393218266325.",1,"['DATE', 'CREDITCARDNUMBER']",Very Sensitive
"Dear Trever, update the Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_5 rv:2.0; SW) AppleWebKit/536.1.2 (KHTML, like Gecko) Version/7.1.1 Safari/536.1.2 version for better accessibility. Homework problems? Call our help desk—the number ends with 6626207259323347.",1,"['MASKEDNUMBER', 'USERAGENT', 'FIRSTNAME']",Very Sensitive
make sure you call yur mother & tell her how much you love her. Tell her I love her for bringin you into the world.,0,,
I was not purchasing  Samsung  mobiles  due to its hanging  issue but I bought  this recently  still Samsung  mobiles are not come out from the hanging issue. Not suggesting to buy this mobil8,0,,
"Our research group is planning to hold an annual conference on the topic of Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_5 rv:2.0; SQ) AppleWebKit/532.2.1 (KHTML, like Gecko) Version/4.0.4 Safari/532.2.1 in Educational Psychology. See our website at https://canine-corruption.name/",1,"['URL', 'USERAGENT']",Sensitive
"Course 'Lemke - Rice' will begin broadcasting on June 16, 1917. Please ensure to have Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:7.9) Gecko/20100101 Firefox/7.9.4 installed and ready for optimal viewing experience.",1,"['DOB', 'USERAGENT', 'COMPANYNAME']",Very Sensitive
"Hello team, we've just concluded our psychometric testing for the Accounts. Test's ID was 5662642303416143. Detailed results will be shared on 08 1711.2006.",1,"['JOBAREA', 'MASKEDNUMBER', 'PHONENUMBER']",Very Sensitive
"I am not able to access patient records with vKVDz2heY5wh following a suspicious login from Mozilla/5.0 (Windows; U; Windows NT 5.0)AppleWebKit/535.2.2 (KHTML, like Gecko) Version/6.1.1 Safari/535.2.2. Could you please arrange for a system update to avoid such discrepancies?",1,"['PASSWORD', 'USERAGENT']",Very Sensitive
Very bad experience. Crack in inner layer of back camera,0,,
Camera quality is not that much good. It doesn't take clear pic. Need to improve the camera. Otherwise phone is good with this range,0,,
This phone has the best battery life of a mobile i ve seen and it charges very fast the camera is workable and the rest is above average and it has a nice display,0,,
Hang ing phone,0,,
"Hello, the interactive psychoeducation webinar we previously talked about is confirmed. Please access it by connecting to this IPV4 4.151.229.191 or IP6 1e47:b7ab:89b0:6a4e:aec2:244e:7bcd:4d65.",1,"['IPV4', 'IPV6']",Unknown
"Your phone's IMEI 48-118959-668041-2 shows high online presence, Shaniya. A career switch to digital marketing would fit.",1,"['PHONEIMEI', 'FIRSTNAME']",Sensitive
"For tomorrow's session, we would like to suggest Marilie.Rolfson with work experience in Internal Operations Manager.",1,"['USERNAME', 'JOBTITLE']",Very Sensitive
The phone hangs a lot unlike mi A1.,0,,
We’re visiting 49178 art studios this term. Received the notice via 8YuSeTxHjLu8.,1,"['ZIPCODE', 'PASSWORD']",Very Sensitive
Best phone and camera phone faster phone good better bekup,0,,
"William Reichel, your Cognitive Therapy Session is scheduled on 29th March at 3 o'clock. Please be in 842 Nolan Expressway, East Jermey, Christineview 36422. If there are changes or if you need further assistance, kindly call +59-360-973.9049 or email Leann_Heathcote96@hotmail.com. $706993 is to be paid for the session.",1,"['EMAIL', 'STREET', 'PHONENUMBER', 'ZIPCODE', 'DATE', 'CITY', 'AMOUNT', 'LASTNAME', 'FIRSTNAME', 'TIME', 'BUILDINGNUMBER']",Very Sensitive
"Internet traffic for 'Art in Education' website was analyzed using af4b:4b1d:d98b:5acc:0366:eb0d:6eac:ea11 and the most common user-agent found was Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/538.0.0 (KHTML, like Gecko) Chrome/31.0.856.0 Safari/538.0.0, which means most people are using this browser. Update this info on our next report.",1,"['USERAGENT', 'IPV6']",Sensitive
Our regular 99767 delivery to Suite 916 is ready for dispatch. Please make sure to input the tracking number into the system and ship via our FL19WVH with the VIN 272LGY74K6MT45664.,1,"['ZIPCODE', 'VEHICLEVIN', 'SECONDARYADDRESS', 'VEHICLEVRM']",Sensitive
"We received a payment for the equipment from a Iceland Krona, but our agreement was settled in Hong Kong Dollar. Could you look into this?",1,"['CURRENCY', 'CURRENCYNAME']",Less Sensitive
"For home-based sessions, the therapist will come to the secondary address: Suite 404. Please confirm with us via the provided 51-102281-001900-6.",1,"['PHONEIMEI', 'SECONDARYADDRESS']",Sensitive
"This was definitely the best meal of this year's holiday trip..... The Kale Caesar! is a very creative interpretation of the timeless classic.  We loved the melted Scamorza cheese.  . I had the Applewood Smoked Duck for my entree, accompanied by a glass of the Siduri pinot from Willamette.  The wine was perfect with the cherry sauce, besides the fact that pinot is a classic pairing with duck.  A glass of Siduri for $12 is a great deal, too.  I loved the way the duck was prepared, too, and it did not weigh me down afterwards like duck often can, either.. My wife had the buttermilk roasted chicken along with a glass of their creative (and delicious) interpretation of sangria.  Roasted Brussels sprouts and sweet corn are part of the presentation.  . Dessert was the decadent Dream Pudding Jar.  We always get excited about an original dessert dish, and this one did not disappoint.. Service was top notch all the way, also.",0,,
"I am a Designer in Devon. Recently, I have been utilizing a remarkable educational assessment tool, Credit Card Account, taking the effectiveness of education to a new level.",1,"['ACCOUNTNAME', 'JOBTYPE', 'COUNTY']",Sensitive
Please send the Constitutional Law study guide to my friend at 29.208.215.165 before 06:52. He'll need the information for his role as a Product Creative Administrator. Could you also cover the costs of the transaction using 03407428 and check if there are 591kRM available?,1,"['IPV4', 'JOBTITLE', 'ACCOUNTNUMBER', 'CURRENCYSYMBOL', 'AMOUNT', 'TIME']",Very Sensitive
Fast charger is not a normal charger,0,,
BN28FFI is the registration for the ambulance carrying a patient of age 98 years with social security number 247-97-5825.,1,"['AGE', 'SSN', 'VEHICLEVRM']",Very Sensitive
"Our HQ at 613, Akeem Brook Apt. 550 in the West Midlands county, is dealing with supply chain interruptions.",1,"['STREET', 'BUILDINGNUMBER', 'SECONDARYADDRESS', 'COUNTY']",Sensitive
We will conduct a Web presentation on 1971-04-14T08:58:02.086Z at 6:26am.,1,"['TIME', 'JOBAREA', 'DATE']",Sensitive
A meeting is scheduled with Greenfelder LLC on 1956-03-04T00:34:15.823Z for a business strategy presentation. Ensure you prepare and present the Homenickside case study.,1,"['DATE', 'COMPANYNAME', 'CITY']",Very Sensitive
wishing I were somewhere else besides here!!  Don`t worry this won`t dampen my day and neither will the rain,0,,
Merger between Jast Group and Botsford - Bednar to be formally announced on 1918-04-05T17:07:01.643Z. Jose Brooklyn Larkin appointed as the new Customer Assurance Liaison.,1,"['JOBTITLE', 'DATE', 'MIDDLENAME', 'LASTNAME', 'FIRSTNAME', 'COMPANYNAME']",Very Sensitive
Trans workforce percentage in the Bedfordshire sector has increased. Doing a further study on this topic.,1,"['GENDER', 'COUNTY']",Sensitive
Ok,0,,
"Dear parents, we have received some inquiries from you regarding the school uniform. If your child's 2'11"" falls within the range of our size chart, we have uniforms readily available. We sent an email to Ericka_Morissette19@gmail.com with more details.",1,"['HEIGHT', 'EMAIL']",Very Sensitive
"Hi, I'm from Highlands and Islands and I wish to order some of your math workbooks for my class. Please find payment info via account 41575967.",1,"['COUNTY', 'ACCOUNTNUMBER']",Very Sensitive
"the  camera  is poor  in quality,looks  good only because of the finishing,really disappointed  by  spending so much of money",0,,
Amazing Smartphone.. Everything is awesome but sometimes Alexa doesn't work properly.,0,,
Battery is not so good,0,,
"Isai Elliott, your code submission contains parts which match the patterns in the private ethereum 0xb5174fdf71c2f651998bb28aeabbc5cd89fa3aaf. Is there a fair explanation?",1,"['ETHEREUMADDRESS', 'MIDDLENAME', 'FIRSTNAME']",Very Sensitive
Best mobile under this range.. Superb zooming range. Fabulous s AMOLED display. 6GB Ram 128 GB memory.. A multitasking phone.,0,,
Ok,0,,
"Picture quality Normal, Louder sound but listing music is worrest feeling. My Suggestion if it is available below 11999.rs Go for it, Otherwise waist of your money.",0,,
Good,0,,
"Dear Mr. Trantow, as a dynamic National Group Associate, your experience in integrating humanistic therapy principles in Mobility is crucial. Send a proposal for a workshop to my email Hilma.Kris73@hotmail.com. Please include the financials as well, including costs, which should be within the budget amount of Trinidad and Tobago Dollar 270,737.96.",1,"['EMAIL', 'JOBTITLE', 'JOBAREA', 'PREFIX', 'AMOUNT', 'LASTNAME', 'CURRENCY']",Very Sensitive
"Your telehealth account name is Investment Account. For any discrepancies, please immediately refer to our website https://elaborate-waitress.com.",1,"['URL', 'ACCOUNTNAME']",Sensitive
Standardized Test Alert: The score report of your child now available at ffa4:0dee:e743:29ea:8ca9:6c5a:e796:fdc1. It will be available till 28/12/1920 23:59 hours. We appreciate your prompt attention.,1,"['DATE', 'IP']",Very Sensitive
